Merge ID	DB_NoveV12	Ishihama2008_fin	Masuda2009_fin	PengTable_fin	OurStudy	# Studies	DB_NoveV12 Duplicates	Ishihama2008_fin Duplicates	Masuda2009_fin Duplicates	PengTable_fin Duplicates	OurStudy Duplicates	Subcellular Location(this study)	CAI	emPAI Value	Covert	Blattner	Corbin	P00350	
Q6BF86	1					1	1					B						
P37388	1			1		2	1			1		F1			0.16	0.3	0.18	
P68066	1	1	1	1	1	5	1	1	2	1	1	A		78.43		3.42	0.49	P68066
P0ACF4	1	1	1	1	1	5	1	1	2	1	1	A	0.56	12.89	11.9	15.32	9.38	P0ACF4
P75616	1			1		2	1			1		G						
P64485	1			1		2	1			1		B				3.27	2.49	
P00350	1	1	1	1	1	5	1	1	2	1	1	A		78.43	19.81	11.02	6.23	P00350
P00363	1	1	1	1	1	5	1	1	2	1	1	F1	0.55	5.47	2.51	1.34	1.99	P00363
P00370	1	1	1	1	1	5	1	1	1	1	1	A	0.43	0.19	9.58	14.59	3.48	P00370
P00393	1	1	1	1	1	5	1	1	2	1	1	F1	0.41	4.74	2.45	0.89	0.45	P00393
P00448	1	1	1	1	1	5	1	1	1	1	1	A		22	18.32	16.22	26.06	P00448
P00452	1	1	1	1	1	5	1	1	2	1	1	A		6.15	3.86	1.59	3.03	P00452
P00490	1	1	1	1	1	5	1	1	2	1	1	A	0.45	8.26	2.89	0.88	1.65	P00490
P00509	1	1	1	1	1	5	1	1	2	1	1	A	0.48	25.49	16.63	9.46	10.33	P00509
P00547	1	1		1		3	1	1		1		A			11.18	4.78	8.46	
P00550	1		1	1	1	4	1		2	1	1	B		1.21	2.1	2.26	1.14	P00550
P00561	1	1	1	1	1	5	1	1	2	1	1	F1	0.32	1	20.56	9.84	16.99	P00561
P00562	1	1	1	1	1	5	1	1	2	1	1	A	0.4	0.54	2.33	1.29	0.63	P00562
P00579	1	1	1	1	1	5	1	1	2	1	1	A	0.58	5.49	4.46	2.29	2.26	P00579
P00803	1		1	1	1	4	1		2	1	1	B		0.72	2.33	2.15	1.24	P00803
P00804	1			1		2	1			1		B			4.98	2.33	4.54	
P00805	1		1	1		3	1		1	1		G		1.24				
P00811	1	1	1	1		4	1	1	1	1		G	0.26	0.21	0.83	0.46	0.37	
P00861	1			1		2	1			1		A			2.3	1.27	0.85	
P00864	1	1	1	1	1	5	1	1	2	1	1	A		2.29	10.51	3.94	3.74	P00864
P00887	1		1	1	1	4	1		2	1	1	A		0.52	3.46	1.18	0.79	P00887
P00888	1			1		2	1			1		A			11.94	4.63	2.36	
P00895	1			1		2	1			1		A			8.8	2.34	3.36	
P00903	1			1	1	3	1			1	1	A			1.08		0.39	P00903
P00904	1			1		2	1			1		F1			9.86	3.15	4.24	
