Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Normalized And Descr Itensity	0BS_C0LL	ABS_CALL	ABS_CALL	Merge ID	Merge ID	Masuda2009_fin	Taniguchi2010_fin_mmol	DetectedTranscr	# Studies	DB_NoveV12 Duplicates	Copy number per cell	mMol	Merge ID	Merge ID	Pan2010	Thein2010	Taoka2004	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Huang2006	Ji2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Iwasaki2010	Wickstrom2010	# Studies	DB_NoveV12 Duplicates	P0AFG8	P0A910	P00350	P0AG44	P0A9P0	P08660	P17583	P0A6F5	P0A6H8	P0AC47	P06129	P0ADT8	P02925	P0A910	C1P619	P0ACV0	Q46798	P00561	P00350
P31069	1	1	1	1	1	5	B	1	2	2	2	P31069	P31069	1	1	1	3	B	1.24	0.012004	P31069	P31069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P31069	P31069		P31069	
P31119	1	1	1	1	1	5	B	1	2	2	2	P31119	P31119	1	0	1	2	B			P31119	P31119	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B		P31119					P31119		P31119						P31119	P31119		P31119	
P31125	0	1	1	1	0	3	B		2	2	2		P31125	0	0	0	0	B				P31125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P31133	0	1	1	1	0	3	G		2	2			P31133	0	0	0	0	G				P31133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P31134	0	1	1	1	0	3	F1		0	0	0		P31134	0	0	0	0	F1				P31134	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	F1							P31134		P31134									P31134	
P31433	1	1	1	1	1	5	B	1	2	2	2	P31433	P31433	1	1	1	3	B	1.45	0.00076455	P31433	P31433	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	6	B		P31433	P31433						P31433						P31433	P31433		P31433	
P31435	0	1	1	1	0	3	B		0	0	0		P31435	0	0	0	0	B				P31435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P31440	0	1	1	1	0	3	B		0	0	0		P31440	0	0	0	0	B				P31440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P31462	0	1	1	1	0	3	B		2	0	0		P31462	0	0	0	0	B				P31462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P31462	
P31466	0	1	1	1	0	3	B		2	0			P31466	0	0	0	0	B				P31466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	B															P31466			P31466	
P31474	0	1	1	1	0	3	B		2	2	2		P31474	0	0	0	0	B				P31474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P31545	0	1	1	1	1	4	G		2	0	0	P31545	P31545	0	0	1	1	G			P31545	P31545	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	G							P31545												
P31553	0	1	1	1	0	3	B		0	0	0		P31553	0	0	0	0	B				P31553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P31554	1	1	1	1	1	5	H	1	2	2	2	P31554	P31554	1	0	1	2	H	130.81		P31554	P31554	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	13	H		P31554	P31554		P31554	P31554	P31554	P31554	P31554			P31554	P31554		P31554	P31554	P31554	P31554	
P31666	0	1	1	1	0	3	G		2	2	2		P31666	0	1	0	1	G		0.00079202		P31666	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	4	G		P31666					P31666								P31666			P31666	
P31679	0	1	1	1	0	3	B		0	0	0		P31679	0	0	0	0	B				P31679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P31979	1	1	1	1	1	5	F1	2	2	2	2	P31979	P31979	1	1	1	3	F1	197.75	0.0038072	P31979	P31979	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	11	F1	P31979	P31979	P31979	P31979		P31979	P31979		P31979			P31979			P31979	P31979		P31979	
P32057	0	1	1	1	0	3	B		2	2	0		P32057	0	0	0	0	B				P32057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P32108	0	1	1	1	0	3	B		0	0	0		P32108	0	0	0	0	B				P32108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P32125	0	1	1	1	0	3	B		2	1			P32125	0	1	0	1	B		0.0015331		P32125	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	B							P32125											P32125	
P32129	0	1	1	1	0	3	B		2	2	2		P32129	0	0	0	0	B				P32129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P32160	0	1	1	1	1	4	G		2	2	2	P32160	P32160	0	0	1	1	G			P32160	P32160	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	G							P32160											P32160	
P32166	0	1	1	1	0	3	B		0	0			P32166	0	0	0	0	B				P32166	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	3	B									P32166						P32166			P32166	
P32670	0	1	1	1	0	3	F1		2	2	2		P32670	0	0	0	0	F1				P32670	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	F1							P32670								P32670			P32670	
P32676	0	1	1	1	0	3	F1		0	0	0		P32676	0	0	0	0	F1				P32676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1																			
P32681	1	1	1	1	1	5	I	1	2	2	2	P32681	P32681	1	0	1	2	I			P32681	P32681	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	I			P32681													P32681		P32681	
P32687	0	1	1	1	0	3	I		0	0	0		P32687	0	0	0	0	I				P32687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	I																			
P32689	0	1	1	1	0	3	E		0	0	0		P32689	0	0	0	0	E				P32689	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	E							P32689											P32689	
P32700	0	1	1	1	0	3	B		2	0	0		P32700	0	0	0	0	B				P32700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P32712	0	1	1	1	0	3	I		0	0	0		P32712	0	0	0	0	I				P32712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	I																			
P32714	0	1	1	1	0	3	I		0	0	0		P32714	0	0	0	0	I				P32714	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	I							P32714											P32714	
P32715	0	1	1	1	0	3	B		2	2	2		P32715	0	0	0	0	B				P32715	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	B							P32715												
P33011	0	1	1	1	1	4	B		2	2	2	P33011	P33011	0	0	1	1	B			P33011	P33011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P33011	P33011		P33011	
P33024	0	1	1	1	0	3	B		0	0	0		P33024	0	0	0	0	B				P33024	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B			P33024																
P33136	1	1	1	1	1	5	G	1	2	2	2	P33136	P33136	1	0	1	2	G	217.85		P33136	P33136	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	7	G		P33136	P33136				P33136						P33136		P33136	P33136		P33136	
P33219	0	1	1	1	0	3	X		2	2	2		P33219	0	0	0	0	X				P33219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	X															P33219			P33219	
P33225	0	1	1	1	0	3	G		2	2	2		P33225	0	1	0	1	G		0.00033747		P33225	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	G							P33225												
P33226	0	1	1	1	0	3	B		0	0	0		P33226	0	0	0	0	B				P33226	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	B									P33226										
P33232	1	1	1	1	1	5	B	1	0	0		P33232	P33232	1	1	1	3	B	596.53	0.004497	P33232	P33232	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	8	B	P33232	P33232	P33232	P33232			P33232								P33232	P33232		P33232	
P33235	0	1	1	1	0	3	F4		2	2	2		P33235	0	0	0	0	F4				P33235	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	4	F4						P33235	P33235					P33235				P33235			
P33358	0	1	1	1	0	3	B		0	0	0		P33358	0	1	0	1	B		0.0052621		P33358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P33358	P33358		P33358	
P33360	0	1	1	1	0	3	F1		1	2			P33360	0	0	0	0	F1				P33360	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	5	F1							P33360								P33360	P33360		P33360	P33360
P33362	0	1	1	1	0	3	G		0	0	0		P33362	0	0	0	0	G				P33362	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	3	G						P33362	P33362											P33362	
P33363	1	1	1	1	1	5	G	1	2	2	2	P33363	P33363	1	0	1	2	G	23.65		P33363	P33363	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	5	G			P33363				P33363								P33363	P33363		P33363	
P33554	0	1	1	1	0	3	G		0	0	0		P33554	0	0	0	0	G				P33554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P33590	0	1	1	1	0	3	G		2	2	2		P33590	0	0	0	0	G				P33590	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	G							P33590											P33590	
P33591	0	1	1	1	0	3	B		0	0	2		P33591	0	0	0	0	B				P33591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P33593	1	1	1	1	0	4	F1	1	1	0	2		P33593	1	1	0	2	F1		0.0013741		P33593	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	6	F1						P33593	P33593				P33593	P33593			P33593	P33593			
P33594	0	1	1	1	0	3	F1		2	0	2		P33594	0	1	0	1	F1		0.0015155		P33594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1																			
P33599	1	1	1	1	1	5	F1	2	2	2	2	P33599	P33599	1	1	1	3	F1	590.19	0.012685	P33599	P33599	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	14	F1	P33599	P33599	P33599	P33599	P33599	P33599	P33599		P33599	P33599		P33599			P33599	P33599		P33599	P33599
P33602	1	1	1	1	1	5	F1	2	2	2	2	P33602	P33602	1	1	1	3	F1	379.07	0.015867	P33602	P33602	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	14	F1	P33602	P33602	P33602	P33602	P33602	P33602	P33602	P33602	P33602	P33602		P33602			P33602	P33602		P33602	
P33607	1	1	1	1	1	5	B	1	2	2	2	P33607	P33607	1	0	1	2	B	1.33		P33607	P33607	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	6	B			P33607			P33607						P33607			P33607	P33607		P33607	
P33650	1	1	1	1	1	5	B	1	1	0	2	P33650	P33650	1	0	1	2	B	1.67		P33650	P33650	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	4	B									P33650						P33650	P33650		P33650	
P33915	1	1	1	1	0	4	B	1	0	0	0		P33915	1	0	0	1	B	1			P33915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P33915	P33915		P33915	
P33916	0	1	1	1	1	4	F1		2	2	2	P33916	P33916	0	0	1	1	F1			P33916	P33916	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	4	F1									P33916						P33916	P33916		P33916	
P33927	1	1	1	1	1	5	B	1	0	0	0	P33927	P33927	1	0	1	2	B	1.43		P33927	P33927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P33927	P33927		P33927	
P33934	0	1	1	1	0	3	B		2	2	2		P33934	0	0	0	0	B				P33934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	B															P33934			P33934	
P33937	0	0	1	1	0	2	G			0	2		P33937	0	0	0	0	G				P33937	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	G							P33937								P33937	P33937		P33937	
P33940	1	1	1	1	1	5	B	1	2	0	0	P33940	P33940	1	0	1	2	B	30.64		P33940	P33940	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	4	B							P33940						P33940			P33940			P33940
P34749	0	1	1	1	0	3	H		0	0	0		P34749	0	0	0	0	H				P34749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	H																		P34749	
P36548	0	1	1	1	1	4	G		2	2	2	P36548	P36548	0	0	1	1	G			P36548	P36548	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	G							P36548											P36548	
P36647	0	1	1	1	0	3	B		0	0	0		P36647	0	0	0	0	B				P36647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P36672	1	1	1	1	1	5	B	2	2	2	2	P36672	P36672	1	0	1	2	B	9440.35		P36672	P36672	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	7	B		P36672	P36672	P36672		P36672									P36672	P36672		P36672	
P36837	0	1	1	1	0	3	B		2	2	2		P36837	0	0	0	0	B				P36837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P36879	1	1	1	1	1	5	F1	1	2	2	2	P36879	P36879	1	1	1	3	F1		0.0046328	P36879	P36879	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	9	F1		P36879	P36879			P36879	P36879		P36879			P36879			P36879	P36879		P36879	
P36881	0	1	1	1	0	3	F1		2	2	2		P36881	0	0	0	0	F1				P36881	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	F1							P36881												
P36929	1	1	1	1	1	5	B	1	2	2	2	P36929	P36929	1	0	1	2	B	38.96		P36929	P36929	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	6	B		P36929	P36929				P36929								P36929	P36929		P36929	
P37028	0	1	1	1	1	4	G		2	1	0	P37028	P37028	0	0	1	1	G			P37028	P37028	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	G							P37028									P37028		P37028	
P37146	0	1	1	1	0	3	B		2	2			P37146	0	0	0	0	B				P37146	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	B			P37146				P37146											P37146	
P37177	0	0	1	1	1	3	F1			2	2	P37177	P37177	0	0	1	1	F1			P37177	P37177	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	F1		P37177					P37177		P37177						P37177	P37177		P37177	
P37180	0	1	1	1	0	3	B		2	2	2		P37180	0	0	0	0	B				P37180	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	B							P37180												
P37194	1	1	1	1	1	5	I	1	2	2	2	P37194	P37194	1	0	1	2	I	118.82		P37194	P37194	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	12	I	P37194	P37194	P37194		P37194			P37194	P37194	P37194	P37194				P37194	P37194	P37194	P37194	
P37313	0	1	1	1	1	4	F1		2	2	2	P37313	P37313	0	0	1	1	F1			P37313	P37313	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	4	F1									P37313						P37313	P37313		P37313	
P37339	1	1	1	1	1	5	B	2	2	2	0	P37339	P37339	1	0	1	2	B			P37339	P37339	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	4	B							P37339								P37339	P37339		P37339	
P37340	0	1	1	1	1	4	B		2	2	2	P37340	P37340	0	0	1	1	B			P37340	P37340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P37340	P37340		P37340	
P37387	0	1	1	1	0	3	G		0	2	0		P37387	0	0	0	0	G				P37387	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	G							P37387								P37387			P37387	
P37619	0	1	1	1	0	3	B		0	1	2		P37619	0	0	0	0	B				P37619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P37624	1	1	1	1	1	5	B	1	0	2	0	P37624	P37624	1	0	1	2	B	2		P37624	P37624	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	4	B									P37624						P37624	P37624		P37624	
P37631	0	1	1	1	0	3	B		2	0	0		P37631	0	0	0	0	B				P37631	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	B			P37631															P37631	
P37636	1	1	1	1	0	4	E	1	0	0	0		P37636	1	1	0	2	E		0.00037259		P37636	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	8	E			P37636		P37636	P37636	P37636	P37636							P37636	P37636		P37636	
P37637	1	1	1	1	0	4	B	1	2	0			P37637	1	0	0	1	B	1			P37637	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	10	B		P37637	P37637		P37637	P37637			P37637	P37637		P37637			P37637	P37637		P37637	
P37641	0	1	1	1	1	4	B		2	0	0	P37641	P37641	0	0	1	1	B			P37641	P37641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P37642	0	1	1	1	1	4	B		2	2		P37642	P37642	0	0	1	1	B			P37642	P37642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P37642	P37642		P37642	
P37648	1	1	1	1	1	5	G	1	2	2	2	P37648	P37648	1	1	1	3	G		0.00035271	P37648	P37648	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	6	G			P37648				P37648						P37648		P37648	P37648		P37648	
P37649	1	1	1	1	1	5	B	1	2	2	2	P37649	P37649	1	0	1	2	B	1.35		P37649	P37649	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	5	B							P37649		P37649						P37649	P37649		P37649	
P37651	1	1	1	1	1	5	G	1	0	0		P37651	P37651	1	0	1	2	G			P37651	P37651	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	G							P37651												
P37652	1	1	1	1	1	5	B	1	0	0	2	P37652	P37652	1	0	1	2	B	1.13		P37652	P37652	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	7	B		P37652				P37652	P37652		P37652						P37652	P37652		P37652	
P37660	0	1	1	1	0	3	B		2	2	2		P37660	0	0	0	0	B				P37660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P37661	0	1	1	1	0	3	B		2	2	2		P37661	0	0	0	0	B				P37661	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	4	B			P37661				P37661		P37661									P37661	
P37690	0	1	1	1	1	4	G		2	0	2	P37690	P37690	0	0	1	1	G			P37690	P37690	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	G		P37690		P37690														P37690	
P37691	0	1	1	1	1	4	G		2	0		P37691	P37691	0	0	1	1	G			P37691	P37691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	G																		P37691	
P37758	0	1	1	1	0	3	B		2	0	1		P37758	0	0	0	0	B				P37758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	B															P37758			P37758	
P37767	0	1	1	1	1	4	B		2	2	2	P37767	P37767	0	0	1	1	B			P37767	P37767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P37767	
P37908	1	1	1	1	1	5	B	1	0	0		P37908	P37908	1	0	1	2	B	1.39		P37908	P37908	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	6	B		P37908					P37908		P37908						P37908	P37908		P37908	
P38054	0	1	1	1	0	3	B		0	0	0		P38054	0	0	0	0	B				P38054	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	5	B		P38054	P38054				P38054		P38054									P38054	
P38055	0	1	1	1	0	3	B		2	2	0		P38055	0	0	0	0	B				P38055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P38135	0	1	1	1	0	3	F1		2	2	2		P38135	0	0	0	0	F1				P38135	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	4	F1			P38135				P38135								P38135			P38135	
P38506	0	1	1	1	1	4	B		2	2	2	P38506	P38506	0	1	1	2	B		0.0016985	P38506	P38506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P38506	
P38683	0	1	1	1	0	3	G		0	0	0		P38683	0	0	0	0	G				P38683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P39165	0	1	1	1	0	3	G		2	0	0		P39165	0	0	0	0	G				P39165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G																			
P39176	0	1	1	1	1	4	G		2	2	2	P39176	P39176	0	0	1	1	G			P39176	P39176	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	G			P39176												P39176	P39176		P39176	
P39187	0	1	1	1	1	4	G		2	2	2	P39187	P39187	0	0	1	1	G			P39187	P39187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	G																		P39187	
P39276	0	1	1	1	0	3	B		2	2	2		P39276	0	0	0	0	B				P39276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P39285	1	1	1	1	1	5	B	1	2	2	2	P39285	P39285	1	0	1	2	B	1.44		P39285	P39285	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	8	B		P39285	P39285			P39285			P39285			P39285			P39285	P39285		P39285	
P39301	0	1	1	1	0	3	B		0	0	0		P39301	0	0	0	0	B				P39301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P39314	0	1	1	1	0	3	B		2	0			P39314	0	0	0	0	B				P39314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P39321	1	1	1	1	1	5	B	1	2	2	2	P39321	P39321	1	1	1	3	B	1.36	0.00025756	P39321	P39321	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	5	B			P39321				P39321								P39321	P39321		P39321	
P39325	0	1	1	1	1	4	G		2	2	2	P39325	P39325	0	0	1	1	G			P39325	P39325	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	5	G			P39325			P39325	P39325								P39325			P39325	
P39342	1	1	1	1	1	5	B	1	2	2	2	P39342	P39342	1	1	1	3	B	15	0.0052193	P39342	P39342	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	6	B			P39342			P39342	P39342								P39342	P39342		P39342	
P39405	0	1	1	1	0	3	F1		2	2	2		P39405	0	1	0	1	F1		0.0085101		P39405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1																			
P39453	0	1	1	1	0	3	B		2	2			P39453	0	1	0	1	B		0.0011204		P39453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	B															P39453			P39453	
P39836	0	1	1	1	0	3	B		2	2	2		P39836	0	0	0	0	B				P39836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	B															P39836			P39836	
P40710	1	1	1	1	1	5	I	1	2	2	2	P40710	P40710	1	0	1	2	I			P40710	P40710	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	7	I		P40710					P40710		P40710						P40710	P40710	P40710	P40710	
P40719	1	1	1	1	1	5	B	1	0	0	0	P40719	P40719	1	0	1	2	B	0.91		P40719	P40719	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	3	B							P40719								P40719	P40719			
P40874	1	1	1	1	0	4	B	1	2	0	0		P40874	1	0	0	1	B	25.05			P40874	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	5	B			P40874				P40874		P40874							P40874		P40874	
P41052	1	1	1	1	1	5	I	1	2	2	2	P41052	P41052	1	1	1	3	I	25.99	6.3512e-005	P41052	P41052	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	I		P41052													P41052	P41052		P41052	
P42588	0	1	1	1	0	3	G		0	0	0		P42588	0	1	0	1	G		0.0054025		P42588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	G															P42588			P42588	
P42590	0	1	1	1	0	3	B		0	0	0		P42590	0	0	0	0	B				P42590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	B																		P42590	
P42591	0	1	1	1	0	3	G		2	2			P42591	0	0	0	0	G				P42591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	G																		P42591	
P42592	0	1	1	1	0	3	G		2	1			P42592	0	0	0	0	G				P42592	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	G							P42592												
P42598	0	1	1	1	0	3	B		1	2	0		P42598	0	0	0	0	B				P42598	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	B							P42598												
P42601	0	1	1	1	0	3	B		0	0	0		P42601	0	0	0	0	B				P42601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P42603	0	1	1	1	0	3	B		1	0	0		P42603	0	0	0	0	B				P42603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P42604	0	1	1	1	0	3	B		0	2	0		P42604	0	1	0	1	B		0.00095947		P42604	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	B							P42604											P42604	
P42616	0	1	1	1	0	3	G		2	2	2		P42616	0	0	0	0	G				P42616	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	G			P42616				P42616											P42616	
P42640	0	1	1	1	0	3	B		0	0	0		P42640	0	0	0	0	B				P42640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
P42911	0	1	1	1	0	3	B		0	0	0		P42911	0	0	0	0	B				P42911	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	B							P42911											P42911	
P43337	0	1	1	1	1	4	B		2	2	2	P43337	P43337	0	1	1	2	B		0.0023076	P43337	P43337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	B															P43337	P43337		P43337	
P43341	1	1	1	1	1	5	F1	1	2	2	2	P43341	P43341	1	1	1	3	F1		0.0022142	P43341	P43341	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	3	F1							P43341								P43341	P43341			
P43531	0	1	1	1	0	3	B		2	2			P43531	0	0	0	0	B				P43531	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	B											P43531								
P43667	0	1	1	1	0	3	B		2	2	2		P43667	0	0	0	0	B				P43667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B																			
