Entry Name A_Subcellular Location(this study)	Entry Name B_Subcellular Location(this study)	Entry Name A	Entry Name B	Accession A	Accession B
6PGD_A	DHNA_F1	6PGD_ECOLI	DHNA_ECOLI	P00350	P00393
6PGD_A	GLTD_A	6PGD_ECOLI	GLTD_ECOLI	P00350	P09832
6PGD_A	EXBB_B	6PGD_ECOLI	EXBB_ECOLI	P00350	P0ABU7
6PGD_A	YJDJ_A	6PGD_ECOLI	YJDJ_ECOLI	P00350	P39274
FRDA_F1	FRDC_B	FRDA_ECOLI	FRDC_ECOLI	P00363	P0A8Q0
FRDA_F1	FRDA_F1	FRDA_ECOLI	FRDA_ECOLI	P00363	P00363
FRDA_F1	P5CR_A	FRDA_ECOLI	P5CR_ECOLI	P00363	P0A9L8
DHE4_A	DHE4_A	DHE4_ECOLI	DHE4_ECOLI	P00370	P00370
DHNA_F1	YGAM_B	DHNA_ECOLI	YGAM_ECOLI	P00393	P0ADQ7
DHNA_F1	EFTU1_F1	DHNA_ECOLI	EFTU1_ECOLI	P00393	P0CE47
RIR1_A	RIR1_A	RIR1_ECOLI	RIR1_ECOLI	P00452	P00452
RIR1_A	PROA_A	RIR1_ECOLI	PROA_ECOLI	P00452	P07004
RIR1_A	YEEN_A	RIR1_ECOLI	YEEN_ECOLI	P00452	P0A8A2
RIR1_A	MREB_F1	RIR1_ECOLI	MREB_ECOLI	P00452	P0A9X4
RIR1_A	EFTU1_F1	RIR1_ECOLI	EFTU1_ECOLI	P00452	P0CE47
RIR1_A	RIR2_B	RIR1_ECOLI	RIR2_ECOLI	P00452	P69924
RIR1_A	MAO2_A	RIR1_ECOLI	MAO2_ECOLI	P00452	P76558
PHSM_A	PHSM_A	PHSM_ECOLI	PHSM_ECOLI	P00490	P00490
PHSM_A	DPO1_A	PHSM_ECOLI	DPO1_ECOLI	P00490	P00582
PHSM_A	UVRD_A	PHSM_ECOLI	UVRD_ECOLI	P00490	P03018
PHSM_A	PNP_A	PHSM_ECOLI	PNP_ECOLI	P00490	P05055
PHSM_A	T1SK_A	PHSM_ECOLI	T1SK_ECOLI	P00490	P05719
PHSM_A	TOP1_A	PHSM_ECOLI	TOP1_ECOLI	P00490	P06612
PHSM_A	ODP2_F1	PHSM_ECOLI	ODP2_ECOLI	P00490	P06959
PHSM_A	EX3_A	PHSM_ECOLI	EX3_ECOLI	P00490	P09030
PHSM_A	KDSA_A	PHSM_ECOLI	KDSA_ECOLI	P00490	P0A715
PHSM_A	RL1_A	PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0
PHSM_A	RL1_A	PHSM_ECOLI	RL1_ECOLI	P00490	P0A7L0
PHSM_A	RL9_A	PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1
PHSM_A	RL9_A	PHSM_ECOLI	RL9_ECOLI	P00490	P0A7R1
PHSM_A	RNH_A	PHSM_ECOLI	RNH_ECOLI	P00490	P0A7Y4
PHSM_A	SSRP_A	PHSM_ECOLI	SSRP_ECOLI	P00490	P0A832
PHSM_A	YEEX_A	PHSM_ECOLI	YEEX_ECOLI	P00490	P0A8M6
PHSM_A	RPOC_A	PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7
PHSM_A	RPOC_A	PHSM_ECOLI	RPOC_ECOLI	P00490	P0A8T7
PHSM_A	RL13_A	PHSM_ECOLI	RL13_ECOLI	P00490	P0AA10
PHSM_A	DBHA_A	PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0
PHSM_A	DBHA_A	PHSM_ECOLI	DBHA_ECOLI	P00490	P0ACF0
PHSM_A	DBHB_A	PHSM_ECOLI	DBHB_ECOLI	P00490	P0ACF4
PHSM_A	HNS_A	PHSM_ECOLI	HNS_ECOLI	P00490	P0ACF8
PHSM_A	RL21_A	PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48
PHSM_A	RL21_A	PHSM_ECOLI	RL21_ECOLI	P00490	P0AG48
PHSM_A	SSB_A	PHSM_ECOLI	SSB_ECOLI	P00490	P0AGE0
PHSM_A	RLUB_A	PHSM_ECOLI	RLUB_ECOLI	P00490	P37765
PHSM_A	YJDJ_A	PHSM_ECOLI	YJDJ_ECOLI	P00490	P39274
PHSM_A	RL3_A	PHSM_ECOLI	RL3_ECOLI	P00490	P60438
PHSM_A	RL4_A	PHSM_ECOLI	RL4_ECOLI	P00490	P60723
PHSM_A	RL22_A	PHSM_ECOLI	RL22_ECOLI	P00490	P61175
PHSM_A	NFI_A	PHSM_ECOLI	NFI_ECOLI	P00490	P68739
PHSM_A	NFI_A	PHSM_ECOLI	NFI_ECOLI	P00490	P68739
PHSM_A	YCJY_A	PHSM_ECOLI	YCJY_ECOLI	P00490	P76049
AAT_A	TIG_A	AAT_ECOLI	TIG_ECOLI	P00509	P0A850
AAT_A	NUOCD_F1	AAT_ECOLI	NUOCD_ECOLI	P00509	P33599
PTM3C_B	CLPP_A	PTM3C_ECOLI	CLPP_ECOLI	P00550	P0A6G7
PTM3C_B	PTM3C_B	PTM3C_ECOLI	PTM3C_ECOLI	P00550	P00550
AK1H_F1	HSLU_A	AK1H_ECOLI	HSLU_ECOLI	P00561	P0A6H5
AK1H_F1	TIG_A	AK1H_ECOLI	TIG_ECOLI	P00561	P0A850
AK1H_F1	DNAB_A	AK1H_ECOLI	DNAB_ECOLI	P00561	P0ACB0
AK1H_F1	AK1H_F1	AK1H_ECOLI	AK1H_ECOLI	P00561	P00561
AK2H_A	G3P1_A	AK2H_ECOLI	G3P1_ECOLI	P00562	P0A9B2
RPOD_A	RPOD_A	RPOD_ECOLI	RPOD_ECOLI	P00579	P00579
RPOD_A	RS6_A	RPOD_ECOLI	RS6_ECOLI	P00579	P02358
RPOD_A	RL15_A	RPOD_ECOLI	RL15_ECOLI	P00579	P02413
RPOD_A	RHAS_A	RPOD_ECOLI	RHAS_ECOLI	P00579	P09377
RPOD_A	RHAR_A	RPOD_ECOLI	RHAR_ECOLI	P00579	P09378
RPOD_A	IF2_A	RPOD_ECOLI	IF2_ECOLI	P00579	P0A705
RPOD_A	RL19_A	RPOD_ECOLI	RL19_ECOLI	P00579	P0A7K6
RPOD_A	RL1_A	RPOD_ECOLI	RL1_ECOLI	P00579	P0A7L0
RPOD_A	RL28_A	RPOD_ECOLI	RL28_ECOLI	P00579	P0A7M2
RPOD_A	RS5_A	RPOD_ECOLI	RS5_ECOLI	P00579	P0A7W1
RPOD_A	RPOZ_A	RPOD_ECOLI	RPOZ_ECOLI	P00579	P0A800
RPOD_A	YEEX_A	RPOD_ECOLI	YEEX_ECOLI	P00579	P0A8M6
RPOD_A	RPOC_A	RPOD_ECOLI	RPOC_ECOLI	P00579	P0A8T7
RPOD_A	RPOB_A	RPOD_ECOLI	RPOB_ECOLI	P00579	P0A8V2
RPOD_A	G3P1_A	RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2
RPOD_A	G3P1_A	RPOD_ECOLI	G3P1_ECOLI	P00579	P0A9B2
RPOD_A	FNR_A	RPOD_ECOLI	FNR_ECOLI	P00579	P0A9E5
RPOD_A	ACCA_A	RPOD_ECOLI	ACCA_ECOLI	P00579	P0ABD5
RPOD_A	CRP_A	RPOD_ECOLI	CRP_ECOLI	P00579	P0ACJ8
RPOD_A	NUSA_A	RPOD_ECOLI	NUSA_ECOLI	P00579	P0AFF6
RPOD_A	RHO_A	RPOD_ECOLI	RHO_ECOLI	P00579	P0AG30
RPOD_A	RS1_A	RPOD_ECOLI	RS1_ECOLI	P00579	P0AG67
RPOD_A	RL2_A	RPOD_ECOLI	RL2_ECOLI	P00579	P60422
RPOD_A	RL4_A	RPOD_ECOLI	RL4_ECOLI	P00579	P60723
RPOD_A	RL4_A	RPOD_ECOLI	RL4_ECOLI	P00579	P60723
RPOD_A	RL22_A	RPOD_ECOLI	RL22_ECOLI	P00579	P61175
RPOD_A	HSCC_A	RPOD_ECOLI	HSCC_ECOLI	P00579	P77319
DPO1_A	DPO1_A	DPO1_ECOLI	DPO1_ECOLI	P00582	P00582
DPO1_A	RF2_A	DPO1_ECOLI	RF2_ECOLI	P00582	P07012
DPO1_A	FIS_A	DPO1_ECOLI	FIS_ECOLI	P00582	P0A6R3
DPO1_A	RL7_A	DPO1_ECOLI	RL7_ECOLI	P00582	P0A7K2
DPO1_A	RPOA_A	DPO1_ECOLI	RPOA_ECOLI	P00582	P0A7Z4
DPO1_A	RPOC_A	DPO1_ECOLI	RPOC_ECOLI	P00582	P0A8T7
DPO1_A	RPOB_A	DPO1_ECOLI	RPOB_ECOLI	P00582	P0A8V2
DPO1_A	DBHA_A	DPO1_ECOLI	DBHA_ECOLI	P00582	P0ACF0
DPO1_A	DBHB_A	DPO1_ECOLI	DBHB_ECOLI	P00582	P0ACF4
DPO1_A	YIDX_I	DPO1_ECOLI	YIDX_ECOLI	P00582	P0ADM6
DPO1_A	EFTU1_F1	DPO1_ECOLI	EFTU1_ECOLI	P00582	P0CE47
DPO1_A	YDBA_H	DPO1_ECOLI	YDBA_ECOLI	P00582	P33666
DPO1_A	RL4_A	DPO1_ECOLI	RL4_ECOLI	P00582	P60723
DPO1_A	RCSB_A	DPO1_ECOLI	RCSB_ECOLI	P00582	P69407
DPO1_A	KDGR_A	DPO1_ECOLI	KDGR_ECOLI	P00582	P76268
PPB_G	IF2_A	PPB_ECOLI	IF2_ECOLI	P00634	P0A705
PPB_G	FTSW_B	PPB_ECOLI	FTSW_ECOLI	P00634	P0ABG4
PPB_G	EXBB_B	PPB_ECOLI	EXBB_ECOLI	P00634	P0ABU7
PPB_G	PUTA_F1	PPB_ECOLI	PUTA_ECOLI	P00634	P09546
LSPA_B	DAPD_A	LSPA_ECOLI	DAPD_ECOLI	P00804	P0A9D8
LSPA_B	RS16_A	LSPA_ECOLI	RS16_ECOLI	P00804	P0A7T3
ASPG2_G	PBPA_B	ASPG2_ECOLI	PBPA_ECOLI	P00805	P02918
ASPG2_G	YEFI_F1	ASPG2_ECOLI	YEFI_ECOLI	P00805	P37751
CYNS_A	CYNS_A	CYNS_ECOLI	CYNS_ECOLI	P00816	P00816
DCDA_A	TIG_A	DCDA_ECOLI	TIG_ECOLI	P00861	P0A850
DCDA_A	DCDA_A	DCDA_ECOLI	DCDA_ECOLI	P00861	P00861
DCDA_A	CPXR_F1	DCDA_ECOLI	CPXR_ECOLI	P00861	P0AE88
DCDA_A	CPXR_F1	DCDA_ECOLI	CPXR_ECOLI	P00861	P0AE88
CAPP_A	RL28_A	CAPP_ECOLI	RL28_ECOLI	P00864	P0A7M2
AROH_A	CH60_A	AROH_ECOLI	CH60_ECOLI	P00887	P0A6F5
AROF_A	AROF_A	AROF_ECOLI	AROF_ECOLI	P00888	P00888
ILVG_A	RS6_A	ILVG_ECOLI	RS6_ECOLI	P00892	P02358
ILVG_A	RS7_A	ILVG_ECOLI	RS7_ECOLI	P00892	P02359
ILVG_A	RL15_A	ILVG_ECOLI	RL15_ECOLI	P00892	P02413
ILVG_A	IF2_A	ILVG_ECOLI	IF2_ECOLI	P00892	P0A705
ILVG_A	RS13_A	ILVG_ECOLI	RS13_ECOLI	P00892	P0A7S9
ILVG_A	RS18_A	ILVG_ECOLI	RS18_ECOLI	P00892	P0A7T7
ILVG_A	RS2_A	ILVG_ECOLI	RS2_ECOLI	P00892	P0A7V0
ILVG_A	RS4_A	ILVG_ECOLI	RS4_ECOLI	P00892	P0A7V8
ILVG_A	RS5_A	ILVG_ECOLI	RS5_ECOLI	P00892	P0A7W1
ILVG_A	RPOC_A	ILVG_ECOLI	RPOC_ECOLI	P00892	P0A8T7
ILVG_A	DEAD_A	ILVG_ECOLI	DEAD_ECOLI	P00892	P0A9P6
ILVG_A	RL13_A	ILVG_ECOLI	RL13_ECOLI	P00892	P0AA10
ILVG_A	ACCA_A	ILVG_ECOLI	ACCA_ECOLI	P00892	P0ABD5
ILVG_A	RL14_A	ILVG_ECOLI	RL14_ECOLI	P00892	P0ADY3
ILVG_A	SPOT_A	ILVG_ECOLI	SPOT_ECOLI	P00892	P0AG24
ILVG_A	RL6_A	ILVG_ECOLI	RL6_ECOLI	P00892	P0AG55
ILVG_A	RNR_A	ILVG_ECOLI	RNR_ECOLI	P00892	P21499
ILVG_A	SRMB_A	ILVG_ECOLI	SRMB_ECOLI	P00892	P21507
ILVG_A	HRPA_A	ILVG_ECOLI	HRPA_ECOLI	P00892	P43329
ILVG_A	RL2_A	ILVG_ECOLI	RL2_ECOLI	P00892	P60422
ILVG_A	RL3_A	ILVG_ECOLI	RL3_ECOLI	P00892	P60438
ILVG_A	RL4_A	ILVG_ECOLI	RL4_ECOLI	P00892	P60723
ILVG_A	RL22_A	ILVG_ECOLI	RL22_ECOLI	P00892	P61175
ILVG_A	ILVG_A	ILVG_ECOLI	ILVG_ECOLI	P00892	P00892
ILVG_A	DLDH_F1	ILVG_ECOLI	DLDH_ECOLI	P00892	P0A9P0
ILVG_A	CSPA_A	ILVG_ECOLI	CSPA_ECOLI	P00892	P0A9X9
ILVG_A	CSPC_A	ILVG_ECOLI	CSPC_ECOLI	P00892	P0A9Y6
ILVG_A	YBCJ_A	ILVG_ECOLI	YBCJ_ECOLI	P00892	P0AAS7
ILVG_A	SECA_F1	ILVG_ECOLI	SECA_ECOLI	P00892	P10408
ILVG_A	PSS_F1	ILVG_ECOLI	PSS_ECOLI	P00892	P23830
ILVG_A	RHLE_A	ILVG_ECOLI	RHLE_ECOLI	P00892	P25888
ILVG_A	YGIF_A	ILVG_ECOLI	YGIF_ECOLI	P00892	P30871
ILVG_A	YHIR_A	ILVG_ECOLI	YHIR_ECOLI	P00892	P37634
ILVG_A	YBJD_B	ILVG_ECOLI	YBJD_ECOLI	P00892	P75828
ILVG_A	YNCE_G	ILVG_ECOLI	YNCE_ECOLI	P00892	P76116
ILVI_A	CH60_A	ILVI_ECOLI	CH60_ECOLI	P00893	P0A6F5
ILVI_A	ILVI_A	ILVI_ECOLI	ILVI_ECOLI	P00893	P00893
ILVH_A	ILVH_A	ILVH_ECOLI	ILVH_ECOLI	P00894	P00894
PHR_A	PHR_A	PHR_ECOLI	PHR_ECOLI	P00914	P00914
PHR_A	NFI_A	PHR_ECOLI	NFI_ECOLI	P00914	P68739
PHR_A	NFI_A	PHR_ECOLI	NFI_ECOLI	P00914	P68739
PHR_A	RLMI_A	PHR_ECOLI	RLMI_ECOLI	P00914	P75876
THRC_A	OTSA_A	THRC_ECOLI	OTSA_ECOLI	P00934	P31677
METB_A	METB_A	METB_ECOLI	METB_ECOLI	P00935	P00935
MANA_A	PBPA_B	MANA_ECOLI	PBPA_ECOLI	P00946	P02918
MANA_A	MANA_A	MANA_ECOLI	MANA_ECOLI	P00946	P00946
MANA_A	RIMN_A	MANA_ECOLI	RIMN_ECOLI	P00946	P45748
MANA_A	REQ2_A	MANA_ECOLI	REQ2_ECOLI	P00946	P76161
SYW_A	SYW_A	SYW_ECOLI	SYW_ECOLI	P00954	P00954
SYW_A	RS5_A	SYW_ECOLI	RS5_ECOLI	P00954	P0A7W1
SYW_A	RL13_A	SYW_ECOLI	RL13_ECOLI	P00954	P0AA10
SYI_A	SYI_A	SYI_ECOLI	SYI_ECOLI	P00956	P00956
SYI_A	PPK_F1	SYI_ECOLI	PPK_ECOLI	P00956	P0A7B1
SYI_A	PPK_F1	SYI_ECOLI	PPK_ECOLI	P00956	P0A7B1
SYI_A	ALLR_A	SYI_ECOLI	ALLR_ECOLI	P00956	P0ACN4
SYI_A	EFTU1_F1	SYI_ECOLI	EFTU1_ECOLI	P00956	P0CE47
SYI_A	HYAD_A	SYI_ECOLI	HYAD_ECOLI	P00956	P19930
SYI_A	YJGL_A	SYI_ECOLI	YJGL_ECOLI	P00956	P39336
SYA_A	SYA_A	SYA_ECOLI	SYA_ECOLI	P00957	P00957
SYA_A	TOP1_A	SYA_ECOLI	TOP1_ECOLI	P00957	P06612
SYA_A	RS2_A	SYA_ECOLI	RS2_ECOLI	P00957	P0A7V0
SYA_A	GLMS_A	SYA_ECOLI	GLMS_ECOLI	P00957	P17169
SYA_A	ARPA_A	SYA_ECOLI	ARPA_ECOLI	P00957	P23325
SYA_A	RLUB_A	SYA_ECOLI	RLUB_ECOLI	P00957	P37765
SYA_A	YDFR_A	SYA_ECOLI	YDFR_ECOLI	P00957	P76160
SYM_A	YBGI_A	SYM_ECOLI	YBGI_ECOLI	P00959	P0AFP6
SYM_A	NRDD_A	SYM_ECOLI	NRDD_ECOLI	P00959	P28903
SYGA_A	SYGA_A	SYGA_ECOLI	SYGA_ECOLI	P00960	P00960
SYGA_A	DNAJ_A	SYGA_ECOLI	DNAJ_ECOLI	P00960	P08622
SYGA_A	RL19_A	SYGA_ECOLI	RL19_ECOLI	P00960	P0A7K6
SYGA_A	RL28_A	SYGA_ECOLI	RL28_ECOLI	P00960	P0A7M2
SYGA_A	RS13_A	SYGA_ECOLI	RS13_ECOLI	P00960	P0A7S9
SYGA_A	RS16_A	SYGA_ECOLI	RS16_ECOLI	P00960	P0A7T3
SYGA_A	RS16_A	SYGA_ECOLI	RS16_ECOLI	P00960	P0A7T3
SYGA_A	RS2_A	SYGA_ECOLI	RS2_ECOLI	P00960	P0A7V0
SYGA_A	RS3_A	SYGA_ECOLI	RS3_ECOLI	P00960	P0A7V3
SYGA_A	RS5_A	SYGA_ECOLI	RS5_ECOLI	P00960	P0A7W1
SYGA_A	METK_A	SYGA_ECOLI	METK_ECOLI	P00960	P0A817
SYGA_A	YBGI_A	SYGA_ECOLI	YBGI_ECOLI	P00960	P0AFP6
SYGA_A	RL21_A	SYGA_ECOLI	RL21_ECOLI	P00960	P0AG48
SYGA_A	RL6_A	SYGA_ECOLI	RL6_ECOLI	P00960	P0AG55
SYGA_A	EFTU1_F1	SYGA_ECOLI	EFTU1_ECOLI	P00960	P0CE47
SYGA_A	PRC_F2	SYGA_ECOLI	PRC_ECOLI	P00960	P23865
SYGA_A	LLDD_B	SYGA_ECOLI	LLDD_ECOLI	P00960	P33232
SYGA_A	RL4_A	SYGA_ECOLI	RL4_ECOLI	P00960	P60723
SYGA_A	RL4_A	SYGA_ECOLI	RL4_ECOLI	P00960	P60723
SYGA_A	RL22_A	SYGA_ECOLI	RL22_ECOLI	P00960	P61175
SYGB_A	SYGB_A	SYGB_ECOLI	SYGB_ECOLI	P00961	P00961
SYGB_A	CH60_A	SYGB_ECOLI	CH60_ECOLI	P00961	P0A6F5
SYGB_A	NRDR_A	SYGB_ECOLI	NRDR_ECOLI	P00961	P0A8D0
SYGB_A	GYRA_A	SYGB_ECOLI	GYRA_ECOLI	P00961	P0AES4
SYGB_A	CSIE_A	SYGB_ECOLI	CSIE_ECOLI	P00961	P54901
SYQ_A	SYQ_A	SYQ_ECOLI	SYQ_ECOLI	P00962	P00962
SYQ_A	TRMB_A	SYQ_ECOLI	TRMB_ECOLI	P00962	P0A8I5
SYQ_A	TRMB_A	SYQ_ECOLI	TRMB_ECOLI	P00962	P0A8I5
ASNA_A	ASNA_A	ASNA_ECOLI	ASNA_ECOLI	P00963	P00963
CARB_A	CARB_A	CARB_ECOLI	CARB_ECOLI	P00968	P00968
CARB_A	TIG_A	CARB_ECOLI	TIG_ECOLI	P00968	P0A850
CARB_A	CYSI_A	CARB_ECOLI	CYSI_ECOLI	P00968	P17846
CARB_A	CYSJ_A	CARB_ECOLI	CYSJ_ECOLI	P00968	P38038
RS6_A	UVRD_A	RS6_ECOLI	UVRD_ECOLI	P02358	P03018
RS6_A	RF2_A	RS6_ECOLI	RF2_ECOLI	P02358	P07012
RS6_A	ACP_F1	RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8
RS6_A	ACP_F1	RS6_ECOLI	ACP_ECOLI	P02358	P0A6A8
RS6_A	CLPP_A	RS6_ECOLI	CLPP_ECOLI	P02358	P0A6G7
RS6_A	IHFB_A	RS6_ECOLI	IHFB_ECOLI	P02358	P0A6Y1
RS6_A	HTPG_F1	RS6_ECOLI	HTPG_ECOLI	P02358	P0A6Z3
RS6_A	IF3_A	RS6_ECOLI	IF3_ECOLI	P02358	P0A707
RS6_A	RPPH_A	RS6_ECOLI	RPPH_ECOLI	P02358	P0A776
RS6_A	PGK_A	RS6_ECOLI	PGK_ECOLI	P02358	P0A799
RS6_A	RS5_A	RS6_ECOLI	RS5_ECOLI	P02358	P0A7W1
RS6_A	YACL_A	RS6_ECOLI	YACL_ECOLI	P02358	P0A8E5
RS6_A	UVRC_A	RS6_ECOLI	UVRC_ECOLI	P02358	P0A8G0
RS6_A	TRMB_A	RS6_ECOLI	TRMB_ECOLI	P02358	P0A8I5
RS6_A	RHLB_A	RS6_ECOLI	RHLB_ECOLI	P02358	P0A8J8
RS6_A	RHLB_A	RS6_ECOLI	RHLB_ECOLI	P02358	P0A8J8
RS6_A	RPOB_A	RS6_ECOLI	RPOB_ECOLI	P02358	P0A8V2
RS6_A	YFBU_A	RS6_ECOLI	YFBU_ECOLI	P02358	P0A8W8
RS6_A	DEAD_A	RS6_ECOLI	DEAD_ECOLI	P02358	P0A9P6
RS6_A	DEAD_A	RS6_ECOLI	DEAD_ECOLI	P02358	P0A9P6
RS6_A	MREB_F1	RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4
RS6_A	MREB_F1	RS6_ECOLI	MREB_ECOLI	P02358	P0A9X4
RS6_A	CSPC_A	RS6_ECOLI	CSPC_ECOLI	P02358	P0A9Y6
RS6_A	CSPC_A	RS6_ECOLI	CSPC_ECOLI	P02358	P0A9Y6
RS6_A	RLUC_A	RS6_ECOLI	RLUC_ECOLI	P02358	P0AA39
RS6_A	YBCJ_A	RS6_ECOLI	YBCJ_ECOLI	P02358	P0AAS7
RS6_A	CLPA_A	RS6_ECOLI	CLPA_ECOLI	P02358	P0ABH9
RS6_A	HOLE_A	RS6_ECOLI	HOLE_ECOLI	P02358	P0ABS8
RS6_A	DPS_A	RS6_ECOLI	DPS_ECOLI	P02358	P0ABT2
RS6_A	DPS_A	RS6_ECOLI	DPS_ECOLI	P02358	P0ABT2
RS6_A	EXBB_B	RS6_ECOLI	EXBB_ECOLI	P02358	P0ABU7
RS6_A	ALLR_A	RS6_ECOLI	ALLR_ECOLI	P02358	P0ACN4
RS6_A	ALLR_A	RS6_ECOLI	ALLR_ECOLI	P02358	P0ACN4
RS6_A	FIMB_A	RS6_ECOLI	FIMB_ECOLI	P02358	P0ADH5
RS6_A	YGGE_G	RS6_ECOLI	YGGE_ECOLI	P02358	P0ADS6
RS6_A	NUSG_A	RS6_ECOLI	NUSG_ECOLI	P02358	P0AFG0
RS6_A	YFIF_A	RS6_ECOLI	YFIF_ECOLI	P02358	P0AGJ5
RS6_A	YFIF_A	RS6_ECOLI	YFIF_ECOLI	P02358	P0AGJ5
RS6_A	YHBY_A	RS6_ECOLI	YHBY_ECOLI	P02358	P0AGK4
RS6_A	IBPA_A	RS6_ECOLI	IBPA_ECOLI	P02358	P0C054
RS6_A	SELB_A	RS6_ECOLI	SELB_ECOLI	P02358	P14081
RS6_A	RNR_A	RS6_ECOLI	RNR_ECOLI	P02358	P21499
RS6_A	YEFI_F1	RS6_ECOLI	YEFI_ECOLI	P02358	P37751
RS6_A	RLUB_A	RS6_ECOLI	RLUB_ECOLI	P02358	P37765
RS6_A	TORZ_G	RS6_ECOLI	TORZ_ECOLI	P02358	P46923
RS6_A	GMHB_A	RS6_ECOLI	GMHB_ECOLI	P02358	P63228
RS6_A	YQJI_A	RS6_ECOLI	YQJI_ECOLI	P02358	P64588
RS6_A	RS21_A	RS6_ECOLI	RS21_ECOLI	P02358	P68679
RS6_A	NFI_A	RS6_ECOLI	NFI_ECOLI	P02358	P68739
RS6_A	CSRA_A	RS6_ECOLI	CSRA_ECOLI	P02358	P69913
RS6_A	YBHK_A	RS6_ECOLI	YBHK_ECOLI	P02358	P75767
RS6_A	RLMI_A	RS6_ECOLI	RLMI_ECOLI	P02358	P75876
RS6_A	DCYD_A	RS6_ECOLI	DCYD_ECOLI	P02358	P76316
RS6_A	YFFS_A	RS6_ECOLI	YFFS_ECOLI	P02358	P76550
RS6_A	GTRB_B	RS6_ECOLI	GTRB_ECOLI	P02358	P77293
RS7_A	RPOD_A	RS7_ECOLI	RPOD_ECOLI	P02359	P00579
RS7_A	PNP_A	RS7_ECOLI	PNP_ECOLI	P02359	P05055
RS7_A	GRPE_A	RS7_ECOLI	GRPE_ECOLI	P02359	P09372
RS7_A	ACP_F1	RS7_ECOLI	ACP_ECOLI	P02359	P0A6A8
RS7_A	CLPP_A	RS7_ECOLI	CLPP_ECOLI	P02359	P0A6G7
RS7_A	HSLU_A	RS7_ECOLI	HSLU_ECOLI	P02359	P0A6H5
RS7_A	HSCB_A	RS7_ECOLI	HSCB_ECOLI	P02359	P0A6L9
RS7_A	FABA_A	RS7_ECOLI	FABA_ECOLI	P02359	P0A6Q3
RS7_A	FABZ_F1	RS7_ECOLI	FABZ_ECOLI	P02359	P0A6Q6
RS7_A	HFQ_F1	RS7_ECOLI	HFQ_ECOLI	P02359	P0A6X3
RS7_A	HSLO_A	RS7_ECOLI	HSLO_ECOLI	P02359	P0A6Y5
RS7_A	IF3_A	RS7_ECOLI	IF3_ECOLI	P02359	P0A707
RS7_A	KDSA_A	RS7_ECOLI	KDSA_ECOLI	P02359	P0A715
RS7_A	IPYR_A	RS7_ECOLI	IPYR_ECOLI	P02359	P0A7A9
RS7_A	PYRH_A	RS7_ECOLI	PYRH_ECOLI	P02359	P0A7E9
RS7_A	RL7_A	RS7_ECOLI	RL7_ECOLI	P02359	P0A7K2
RS7_A	RS5_A	RS7_ECOLI	RS5_ECOLI	P02359	P0A7W1
RS7_A	RNPA_A	RS7_ECOLI	RNPA_ECOLI	P02359	P0A7Y8
RS7_A	RPOZ_A	RS7_ECOLI	RPOZ_ECOLI	P02359	P0A800
RS7_A	RIMP_A	RS7_ECOLI	RIMP_ECOLI	P02359	P0A8A8
RS7_A	SYK2_A	RS7_ECOLI	SYK2_ECOLI	P02359	P0A8N5
RS7_A	PHOL_A	RS7_ECOLI	PHOL_ECOLI	P02359	P0A9K3
RS7_A	LON_A	RS7_ECOLI	LON_ECOLI	P02359	P0A9M0
RS7_A	DEAD_A	RS7_ECOLI	DEAD_ECOLI	P02359	P0A9P6
RS7_A	FTSE_F1	RS7_ECOLI	FTSE_ECOLI	P02359	P0A9R7
RS7_A	CSPA_A	RS7_ECOLI	CSPA_ECOLI	P02359	P0A9X9
RS7_A	FTSH_B	RS7_ECOLI	FTSH_ECOLI	P02359	P0AAI3
RS7_A	HYPC_A	RS7_ECOLI	HYPC_ECOLI	P02359	P0AAM3
RS7_A	CLPA_A	RS7_ECOLI	CLPA_ECOLI	P02359	P0ABH9
RS7_A	PRIM_B	RS7_ECOLI	PRIM_ECOLI	P02359	P0ABS5
RS7_A	DBHB_A	RS7_ECOLI	DBHB_ECOLI	P02359	P0ACF4
RS7_A	HSLR_A	RS7_ECOLI	HSLR_ECOLI	P02359	P0ACG8
RS7_A	FIMB_A	RS7_ECOLI	FIMB_ECOLI	P02359	P0ADH5
RS7_A	NUSA_A	RS7_ECOLI	NUSA_ECOLI	P02359	P0AFF6
RS7_A	NUSG_A	RS7_ECOLI	NUSG_ECOLI	P02359	P0AFG0
RS7_A	SSPB_A	RS7_ECOLI	SSPB_ECOLI	P02359	P0AFZ3
RS7_A	YHBY_A	RS7_ECOLI	YHBY_ECOLI	P02359	P0AGK4
RS7_A	IBPA_A	RS7_ECOLI	IBPA_ECOLI	P02359	P0C054
RS7_A	SELB_A	RS7_ECOLI	SELB_ECOLI	P02359	P14081
RS7_A	ICLR_A	RS7_ECOLI	ICLR_ECOLI	P02359	P16528
RS7_A	RNE_F1	RS7_ECOLI	RNE_ECOLI	P02359	P21513
RS7_A	LPXD_A	RS7_ECOLI	LPXD_ECOLI	P02359	P21645
