Entry Name K12	Entry Name BL21(DE3)	UniProtKB	A5A612	ymgJ	-	GO:0004416	hydroxyacylglutathione hydrolase activity	Function	IDA	PMID:17196158	:	83333	20070124	EcoCyc	-
															
															
															
															
															
															
															
DHNA_ECOLI	C6EGY3	UniProtKB	P00393	ndh	-	GO:0008137	NADH dehydrogenase (ubiquinone) activity	Function	IDA	PMID:7020757	:	83333	20071023	EcoCyc	-
DHNA_ECOLI	C6EGY3	UniProtKB	P00393	ndh	-	GO:0009060	aerobic respiration	Process	IMP	PMID:9063459	:	83333	20071219	EcoCyc	-
DHNA_ECOLI	C6EGY3	UniProtKB	P00393	ndh	-	GO:0019646	aerobic electron transport chain	Process	IDA	PMID:6784762	:	83333	20071121	EcoCyc	-
DHNA_ECOLI	C6EGY3	UniProtKB	P00393	ndh	-	GO:0044459	plasma membrane part	Component	IPI	PMID:7020757	:	83333	20071121	EcoCyc	-
DHNA_ECOLI	C6EGY3	UniProtKB	P00393	ndh	-	GO:0050660	flavin adenine dinucleotide binding	Function	IDA	PMID:7020757	:	83333	20071217	EcoCyc	-
															
															
															
															
															
															
															
															
															
RIR1_ECOLI	C6E9W7	UniProtKB	P00452	nrdA	-	GO:0004748	ribonucleoside-diphosphate reductase activity	Function	IDA	PMID:357894	:	83333	20090714	EcoCyc	-
AAT_ECOLI	C6EI54	UniProtKB	P00509	aspC	-	GO:0033585	L-phenylalanine biosynthetic process from chorismate via phenylpyruvate	Process	IMP	PMID:15983	:	83333	20100122	EcoCyc	-
AAT_ECOLI	C6EI54	UniProtKB	P00509	aspC	-	GO:0042803	protein homodimerization activity	Function	IDA	PMID:352693	:	83333	20100122	EcoCyc	-
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
SYA_ECOLI	C6EJT4	UniProtKB	P00957	alaS	-	GO:0004813	alanine-tRNA ligase activity	Function	IDA	PMID:7005211	:	83333	20080816	EcoCyc	-
SYA_ECOLI	C6EJT4	UniProtKB	P00957	alaS	-	GO:0006419	alanyl-tRNA aminoacylation	Process	IDA	PMID:7005211	:	83333	20080816	EcoCyc	-
SYA_ECOLI	C6EJT4	UniProtKB	P00957	alaS	-	GO:0008270	zinc ion binding	Function	IDA	PMID:1712632	:	83333	20080816	EcoCyc	-
SYA_ECOLI	C6EJT4	UniProtKB	P00957	alaS	-	GO:0045892	negative regulation of transcription, DNA-dependent	Process	IDA	PMID:6264314	:	83333	20080816	EcoCyc	-
															
															
RS7_ECOLI	C6EGC3	UniProtKB	P02359	rpsG	-	GO:0000028	ribosomal small subunit assembly	Process	IDA	PMID:2461734	:	83333	20100917	EcoCyc	-
RS7_ECOLI	C6EGC3	UniProtKB	P02359	rpsG	-	GO:0003729	mRNA binding	Function	IDA	PMID:17027976	:	83333	20100917	EcoCyc	-
RS7_ECOLI	C6EGC3	UniProtKB	P02359	rpsG	-	GO:0003729	mRNA binding	Function	IDA	PMID:8289236	:	83333	20100917	EcoCyc	-
